Cluster,wMel,Treated
19,0.948979592,1
21,0.887755102,1
21,0.918367347,1
21,0.93877551,1
21,0.959183673,1
21,0.918367347,1
21,0.836734694,1
21,0.826530612,1
21,0.93877551,1
21,0.795918367,1
21,0.87755102,1
21,0.928571429,1
21,0.93877551,1
21,0.887755102,1
21,0.93877551,1
21,0.979591837,1
21,0.969387755,1
21,0.93877551,1
21,0.989795918,1
21,0.969387755,1
21,0.969387755,1
21,0.959183673,1
21,0.979591837,1
21,0.959183673,1
21,0.897959184,1
21,0.867346939,1
24,0.93877551,1
24,0.93877551,1
24,0.948979592,1
24,0.918367347,1
24,0.989795918,1
24,0.948979592,1
24,0.887755102,1
24,0.959183673,1
24,0.969387755,1
24,0.979591837,1
24,0.948979592,1
24,0.959183673,1
24,0.989795918,1
24,0.969387755,1
24,0.989795918,1
24,0.969387755,1
24,0.959183673,1
24,0.959183673,1
24,0.969387755,1
24,0.93877551,1
24,0.928571429,1
3,0.01010101,0
3,0.01010101,0
3,0.01010101,0
3,0.060606061,0
3,0.121212121,0
3,0.070707071,0
3,0.03030303,0
3,0.04040404,0
3,0.04040404,0
3,0.04040404,0
3,0.090909091,0
3,0.060606061,0
3,0.131313131,0
3,0.121212121,0
3,0.181818182,0
3,0.181818182,0
3,0.353535354,0
3,0.323232323,0
3,0.252525253,0
3,0.292929293,0
3,0.272727273,0
3,0.393939394,0
3,0.262626263,0
3,0.414141414,0
3,0.424242424,0
4,0.070707071,0
4,0.090909091,0
4,0.090909091,0
4,0.060606061,0
4,0.202020202,0
4,0.151515152,0
4,0.101010101,0
4,0.171717172,0
4,0.181818182,0
4,0.232323232,0
4,0.393939394,0
4,0.454545455,0
4,0.393939394,0
4,0.333333333,0
4,0.353535354,0
4,0.353535354,0
4,0.565656566,0
4,0.626262626,0
4,0.777777778,0
4,0.787878788,0
4,0.808080808,0
4,0.707070707,0
4,0.696969697,0
4,0.676767677,0
4,0.787878788,0
5,0.060606061,0
5,0.03030303,0
5,0.04040404,0
5,0.070707071,0
5,0.050505051,0
5,0.02020202,0
5,0.02020202,0
5,0.191919192,0
5,0.060606061,0
5,0.161616162,0
5,0.202020202,0
5,0.282828283,0
5,0.181818182,0
5,0.212121212,0
5,0.191919192,0
5,0.04040404,0
5,0.111111111,0
5,0.282828283,0
5,0.050505051,0
5,0.141414141,0
5,0.202020202,0
5,0.242424242,0
5,0.313131313,0
5,0.343434343,0
5,0.363636364,0
8,0.071428571,0
8,0.091836735,0
8,0.132653061,0
8,0.040816327,0
8,0.091836735,0
8,0.091836735,0
8,0.102040816,0
8,0.102040816,0
8,0.153061224,0
8,0.112244898,0
8,0.112244898,0
8,0.173469388,0
8,0.255102041,0
8,0.255102041,0
8,0.295918367,0
8,0.316326531,0
8,0.255102041,0
8,0.489795918,0
8,0.37755102,0
8,0.346938776,0
8,0.265306122,0
8,0.244897959,0
8,0.326530612,0
8,0.5,0
8,0.642857143,0
8,0.56122449,0
11,0.051020408,0
11,0.102040816,0
11,0.183673469,0
11,0.081632653,0
11,0.020408163,0
11,0.051020408,0
11,0.081632653,0
11,0.081632653,0
11,0.091836735,0
11,0.183673469,0
11,0.051020408,0
11,0.071428571,0
11,0.163265306,0
11,0.224489796,0
11,0.295918367,0
11,0.244897959,0
11,0.326530612,0
11,0.326530612,0
11,0.316326531,0
11,0.326530612,0
11,0.265306122,0
11,0.408163265,0
11,0.214285714,0
11,0.469387755,0
11,0.642857143,0
11,0.357142857,0
13,0.010204082,0
13,0.020408163,0
13,0.030612245,0
13,0.030612245,0
13,0.030612245,0
13,0.040816327,0
13,0.051020408,0
13,0.040816327,0
13,0.06122449,0
13,0.051020408,0
13,0.12244898,0
13,0.071428571,0
13,0.081632653,0
13,0.102040816,0
13,0.071428571,0
13,0.081632653,0
13,0.071428571,0
13,0.102040816,0
13,0.153061224,0
13,0.153061224,0
13,0.071428571,0
13,0.306122449,0
13,0.142857143,0
13,0.193877551,0
13,0.132653061,0
13,0.132653061,0
15,0.080808081,0
15,0.151515152,0
